127.0.0.1 - - [28/Nov/2021:09:42:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:35 +0900] "GET /J20210904/index.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/main.do HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/css/common/footer.css HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/css/common/header.css HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/css/common/slider.css HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/css/common/main.css HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/images/main/slide_img1.png HTTP/1.1" 200 435620
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/images/main/slide_img2.png HTTP/1.1" 200 597052
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/images/main/slide_img3.png HTTP/1.1" 200 559138
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/images/main/btn_img1.png HTTP/1.1" 200 10414
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/images/main/btn_img2.png HTTP/1.1" 200 43320
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/images/main/btn_img3.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/images/items/2.gif HTTP/1.1" 200 38549
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/images/items/3.gif HTTP/1.1" 200 100995
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/images/items/9.gif HTTP/1.1" 200 27792
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/images/items/25.gif HTTP/1.1" 200 22636
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/images/items/20.gif HTTP/1.1" 200 32320
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:36 +0900] "GET /J20210904/images/items/30.gif HTTP/1.1" 200 28501
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/index.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/main.do HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/css/common/header.css HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/css/common/footer.css HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/css/common/slider.css HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/css/common/main.css HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/images/main/slide_img1.png HTTP/1.1" 200 435620
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/images/main/slide_img2.png HTTP/1.1" 200 597052
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/images/main/slide_img3.png HTTP/1.1" 200 559138
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/images/main/btn_img1.png HTTP/1.1" 200 10414
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/images/main/btn_img3.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/images/main/btn_img2.png HTTP/1.1" 200 43320
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/images/items/2.gif HTTP/1.1" 200 38549
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/images/items/3.gif HTTP/1.1" 200 100995
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/images/items/9.gif HTTP/1.1" 200 27792
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/images/items/25.gif HTTP/1.1" 200 22636
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/images/items/30.gif HTTP/1.1" 200 28501
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /J20210904/images/items/20.gif HTTP/1.1" 200 32320
0:0:0:0:0:0:0:1 - - [28/Nov/2021:09:42:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
